OrphaCode,DisorderName,GeneSymbol,GeneName,GeneLocus
382,Guanidinoacetate methyltransferase deficiency,GAMT,guanidinoacetate N-methyltransferase,19p13.3
742,Prolidase deficiency,PEPD,peptidase D,19q13.11
1571,Knobloch syndrome,PAK2,p21 (RAC1) activated kinase 2,3q29
1571,Knobloch syndrome,COL18A1,collagen type XVIII alpha 1 chain,21q22.3
1568,X-linked intellectual disability-Dandy-Walker malformation-basal ganglia disease-seizures syndrome,AP1S2,adaptor related protein complex 1 subunit sigma 2,Xp22.2
1497,X-linked complicated corpus callosum dysgenesis,L1CAM,L1 cell adhesion molecule,Xq28
140436,Primary intraosseous venous malformation,ELMO2,engulfment and cell motility 2,20q13.12
1493,Vici syndrome,EPG5,ectopic P-granules 5 autophagy tethering factor,18q12.3-q21.1
1509,Coxopodopatellar syndrome,TBX4,T-box transcription factor 4,17q23.2
1507,Autosomal recessive Robinow syndrome,ROR2,receptor tyrosine kinase like orphan receptor 2,9q22.31
1507,Autosomal recessive Robinow syndrome,NXN,nucleoredoxin,17p13.3
1517,Cantú syndrome,ABCC9,ATP binding cassette subfamily C member 9,12p12.1
1517,Cantú syndrome,KCNJ8,potassium inwardly rectifying channel subfamily J member 8,12p12.1
1519,SPECC1L-related hypertelorism syndrome,SPECC1L,sperm antigen with calponin homology and coiled-coil domains 1 like,22q11.23
1520,Craniofrontonasal dysplasia,EFNB1,ephrin B1,Xq13.1
1513,Craniodiaphyseal dysplasia,SOST,sclerostin,17q21.31
1513,Craniodiaphyseal dysplasia,SP7,Sp7 transcription factor,12q13.13
140481,Autosomal dominant slowed nerve conduction velocity,ARHGEF10,Rho guanine nucleotide exchange factor 10,8p23.3
1515,Cranioectodermal dysplasia,IFT122,intraflagellar transport 122,3q21.3-q22.1
1515,Cranioectodermal dysplasia,WDR35,WD repeat domain 35,2p24.1
1515,Cranioectodermal dysplasia,IFT43,intraflagellar transport 43,14q24.3
1515,Cranioectodermal dysplasia,WDR19,WD repeat domain 19,4p14
1515,Cranioectodermal dysplasia,IFT52,intraflagellar transport 52,20q13.12
1529,Craniofacial-deafness-hand syndrome,PAX3,paired box 3,2q36.1
1522,Craniometaphyseal dysplasia,ANKH,ANKH inorganic pyrophosphate transport regulator,5p15.2
1522,Craniometaphyseal dysplasia,GJA1,gap junction protein alpha 1,6q22.31
1525,Cranio-osteoarthropathy,HPGD,15-hydroxyprostaglandin dehydrogenase,4q34.1
1824,Lowry-Wood syndrome,RNU4ATAC,"RNA, U4atac small nuclear",2q14.2
1955,Spinocerebellar ataxia type 34,ELOVL4,ELOVL fatty acid elongase 4,6q14.1
2209,Maternal phenylketonuria syndrome,PAH,phenylalanine hydroxylase,12q23.2
1896,EEC syndrome,TP63,tumor protein p63,3q28
1897,EEM syndrome,CDH3,cadherin 3,16q22.1
1807,Focal facial dermal dysplasia type III,TWIST2,twist family bHLH transcription factor 2,2q37.3
1873,Jalili syndrome,CNNM4,cyclin and CBS domain divalent metal cation transport mediator 4,2q11.2
1879,Melorheostosis with osteopoikilosis,LEMD3,LEM domain containing 3,12q14.3
1872,Cone rod dystrophy,RPGR,retinitis pigmentosa GTPase regulator,Xp11.4
1872,Cone rod dystrophy,PRPH2,peripherin 2,6p21.1
1872,Cone rod dystrophy,CFAP410,cilia and flagella associated protein 410,21q22.3
1872,Cone rod dystrophy,PITPNM3,PITPNM family member 3,17p13.2-p13.1
1872,Cone rod dystrophy,OPN1MW,"opsin 1, medium wave sensitive",Xq28
1872,Cone rod dystrophy,CRX,cone-rod homeobox,19q13.33
1872,Cone rod dystrophy,NMNAT1,nicotinamide nucleotide adenylyltransferase 1,1p36.22
1872,Cone rod dystrophy,CFAP418,cilia and flagella associated protein 418,8q22.1
1872,Cone rod dystrophy,CDHR1,cadherin related family member 1,10q23.1
1872,Cone rod dystrophy,ABCA4,ATP binding cassette subfamily A member 4,1p22.1
1872,Cone rod dystrophy,RIMS1,regulating synaptic membrane exocytosis 1,6q13
1872,Cone rod dystrophy,RPGRIP1,RPGR interacting protein 1,14q11.2
1872,Cone rod dystrophy,CACNA1F,calcium voltage-gated channel subunit alpha1 F,Xp11.23
1872,Cone rod dystrophy,CNGA3,cyclic nucleotide gated channel subunit alpha 3,2q11.2
1872,Cone rod dystrophy,AIPL1,AIP like 1 HSP90 co-chaperone,17p13.2
1872,Cone rod dystrophy,GUCA1A,guanylate cyclase activator 1A,6p21.1
1872,Cone rod dystrophy,GUCY2D,"guanylate cyclase 2D, retinal",17p13.1
1872,Cone rod dystrophy,OPN1LW,"opsin 1, long wave sensitive",Xq28
1872,Cone rod dystrophy,RAX2,retina and anterior neural fold homeobox 2,19p13.3
1872,Cone rod dystrophy,SEMA4A,semaphorin 4A,1q22
1872,Cone rod dystrophy,PROM1,prominin 1,4p15.32
1872,Cone rod dystrophy,CACNA2D4,calcium voltage-gated channel auxiliary subunit alpha2delta 4,12p13.33
1872,Cone rod dystrophy,ADAM9,ADAM metallopeptidase domain 9,8p11.22
1872,Cone rod dystrophy,UNC119,unc-119 lipid binding chaperone,17q11.2
1872,Cone rod dystrophy,RAB28,"RAB28, member RAS oncogene family",4p15.33
1872,Cone rod dystrophy,POC1B,POC1 centriolar protein B,12q21.33
1872,Cone rod dystrophy,DRAM2,DNA damage regulated autophagy modulator 2,1p13.3
1872,Cone rod dystrophy,TTLL5,tubulin tyrosine ligase like 5,14q24.3
1872,Cone rod dystrophy,TLCD3B,TLC domain containing 3B,16p11.2
1872,Cone rod dystrophy,UBAP1L,ubiquitin associated protein 1 like,15q22.31
1872,Cone rod dystrophy,ATF6,activating transcription factor 6,1q23.3
1871,Progressive cone dystrophy,PDE6C,phosphodiesterase 6C,10q23.33
1871,Progressive cone dystrophy,GNAT2,G protein subunit alpha transducin 2,1p13.3
1871,Progressive cone dystrophy,CNGB3,cyclic nucleotide gated channel subunit beta 3,8q21.3
1871,Progressive cone dystrophy,GUCA1A,guanylate cyclase activator 1A,6p21.1
1860,Thanatophoric dysplasia type 1,FGFR3,fibroblast growth factor receptor 3,4p16.3
1865,"Dyssegmental dysplasia, Silverman-Handmaker type",HSPG2,heparan sulfate proteoglycan 2,1p36.12
1830,Schimke immuno-osseous dysplasia,SMARCAL1,SNF2 related chromatin remodeling annealing helicase 1,2q35
1802,Ghosal hematodiaphyseal dysplasia,TBXAS1,thromboxane A synthase 1,7q34
2128,Isolated hemihyperplasia,IGF2,insulin like growth factor 2,11p15.5
2128,Isolated hemihyperplasia,H19,H19 imprinted maternally expressed transcript,11p15.5
2128,Isolated hemihyperplasia,KCNQ1OT1,KCNQ1 opposite strand/antisense transcript 1,11p15.5
2136,Hennekam syndrome,CCBE1,collagen and calcium binding EGF domains 1,18q21.32
2136,Hennekam syndrome,FAT4,FAT atypical cadherin 4,4q28.1
2136,Hennekam syndrome,ADAMTS3,ADAM metallopeptidase with thrombospondin type 1 motif 3,4q13.3
2138,"46,XX ovotesticular difference of sex development",SOX9,SRY-box transcription factor 9,17q24.3
2138,"46,XX ovotesticular difference of sex development",SRY,sex determining region Y,Yp11.2
2138,"46,XX ovotesticular difference of sex development",NR5A1,nuclear receptor subfamily 5 group A member 1,9q33.3
2143,Donnai-Barrow syndrome,LRP2,LDL receptor related protein 2,2q31.1
2148,Lissencephaly type 1 due to doublecortin gene mutation,DCX,doublecortin,Xq23
2108,Hallermann-Streiff syndrome,CHD6,chromodomain helicase DNA binding protein 6,20q12
2114,"Hip dysplasia, Beukes type",UFSP2,UFM1 specific peptidase 2,4q35.1
2117,Hartsfield syndrome,FGFR1,fibroblast growth factor receptor 1,8p11.23
376,Gordon syndrome,PIEZO2,piezo type mechanosensitive ion channel component 2,18p11.22-p11.21
2092,Focal dermal hypoplasia,PORCN,porcupine O-acyltransferase,Xp11.23
2098,"Acromesomelic dysplasia, Grebe type",BMPR1B,bone morphogenetic protein receptor type 1B,4q22.3
2098,"Acromesomelic dysplasia, Grebe type",GDF5,growth differentiation factor 5,20q11.22
380,Greig cephalopolysyndactyly syndrome,GLI3,GLI family zinc finger 3,7p14.1
2095,Gorlin-Chaudhry-Moss syndrome,SLC25A24,solute carrier family 25 member 24,1p13.3
157846,Neuroferritinopathy,FTL,ferritin light chain,19q13.33
2067,GAPO syndrome,ANTXR1,ANTXR cell adhesion molecule 1,2p13.3
2065,Galloway-Mowat syndrome,OSGEP,O-sialoglycoprotein endopeptidase,14q11.2
2065,Galloway-Mowat syndrome,TP53RK,TP53 regulating kinase,20q13.12
2065,Galloway-Mowat syndrome,WDR73,WD repeat domain 73,15q25.2
2065,Galloway-Mowat syndrome,NUP107,nucleoporin 107,12q15
2065,Galloway-Mowat syndrome,TPRKB,TP53RK binding protein,2p13.1
2065,Galloway-Mowat syndrome,LAGE3,L antigen family member 3,Xq28
2065,Galloway-Mowat syndrome,WDR4,WDR4 tRNA N7-guanosine methyltransferase non-catalytic subunit,21q22.3
2065,Galloway-Mowat syndrome,GON7,GON7 subunit of KEOPS complex,14q32.12
2065,Galloway-Mowat syndrome,NUP133,nucleoporin 133,1q42.13
2065,Galloway-Mowat syndrome,YRDC,yrdC N6-threonylcarbamoyltransferase domain containing,1p34.3
157941,Huntington disease-like 1,PRNP,prion protein (Kanno blood group),20p13
2072,Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome,GBA1,glucosylceramidase beta 1,1q22
157954,ANE syndrome,RBM28,RNA binding motif protein 28,7q32.1
157962,"Oculoauricular syndrome, Schorderet type",HMX1,H6 family homeobox 1,4p16.1
2078,Geroderma osteodysplastica,GORAB,"golgin, RAB6 interacting",1q24.2
2078,Geroderma osteodysplastica,PYCR1,pyrroline-5-carboxylate reductase 1,17q25.3
157949,Combined immunodeficiency with granulomatosis,INO80,INO80 complex ATPase subunit,15q15.1
157949,Combined immunodeficiency with granulomatosis,RAG1,recombination activating 1,11p12
157949,Combined immunodeficiency with granulomatosis,RAG2,recombination activating 2,11p12
157973,Congenital muscular dystrophy due to LMNA mutation,LMNA,lamin A/C,1q22
2084,Glaucoma-ectopia lentis-microspherophakia-stiff joints-short stature syndrome,FBN1,fibrillin 1,15q21.1
157965,SLC39A13-related spondylodysplastic Ehlers-Danlos syndrome,SLC39A13,solute carrier family 39 member 13,11p11.2
1826,Frontometaphyseal dysplasia,MAP3K7,mitogen-activated protein kinase kinase kinase 7,6q15
1826,Frontometaphyseal dysplasia,FLNA,filamin A,Xq28
2050,Cole-Carpenter syndrome,P4HB,prolyl 4-hydroxylase subunit beta,17q25.3
2050,Cole-Carpenter syndrome,SEC24D,"SEC24 homolog D, COPII coat complex component",4q26
2050,Cole-Carpenter syndrome,CRTAP,cartilage associated protein,3p22.3
2059,Fryns syndrome,PIGN,phosphatidylinositol glycan anchor biosynthesis class N,18q21.33
2026,Gingival fibromatosis-hypertrichosis syndrome,ABCA5,ATP binding cassette subfamily A member 5,17q24.3
2028,Juvenile hyaline fibromatosis,ANTXR2,ANTXR cell adhesion molecule 2,4q21.21
2021,Fibrochondrogenesis,COL11A1,collagen type XI alpha 1 chain,1p21.1
2021,Fibrochondrogenesis,COL11A2,collagen type XI alpha 2 chain,6p21.32
2024,Hereditary gingival fibromatosis,GINGF2,"gingival fibromatosis, hereditary, 2",5q13-q22
2024,Hereditary gingival fibromatosis,SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1,2p22.1
2024,Hereditary gingival fibromatosis,REST,RE1 silencing transcription factor,4q12
2044,Floating-Harbor syndrome,SRCAP,Snf2 related CREBBP activator protein,16p11.2
2036,Scalp-ear-nipple syndrome,KCTD1,potassium channel tetramerization domain containing 1,18q11.2
158769,Plaque-form urticaria pigmentosa,KIT,"KIT proto-oncogene, receptor tyrosine kinase",4q12
158766,Typical urticaria pigmentosa,KIT,"KIT proto-oncogene, receptor tyrosine kinase",4q12
158687,Lethal acantholytic erosive disorder,DSP,desmoplakin,6p24.3
158687,Lethal acantholytic erosive disorder,JUP,junction plakoglobin,17q21.2
158684,Epidermolysis bullosa simplex with pyloric atresia,PLEC,plectin,8q24.3
158684,Epidermolysis bullosa simplex with pyloric atresia,ITGB4,integrin subunit beta 4,17q25.1
158681,Epidermolysis bullosa simplex with circinate migratory erythema,KRT5,keratin 5,12q13.13
158676,"Localized dystrophic epidermolysis bullosa, nails only",COL7A1,collagen type VII alpha 1 chain,3p21.31
158673,"Localized dystrophic epidermolysis bullosa, acral form",COL7A1,collagen type VII alpha 1 chain,3p21.31
158668,Ectodermal dysplasia-skin fragility syndrome,PKP1,plakophilin 1,1q32.1
158778,Isolated bone marrow mastocytosis,KIT,"KIT proto-oncogene, receptor tyrosine kinase",4q12
158775,Smoldering systemic mastocytosis,KIT,"KIT proto-oncogene, receptor tyrosine kinase",4q12
158772,Nodular urticaria pigmentosa,KIT,"KIT proto-oncogene, receptor tyrosine kinase",4q12
1986,Gollop-Wolfgang complex,BHLHA9,basic helix-loop-helix family member a9,17p13.3
1980,Bilateral striopallidodentate calcinosis,NAA60,"N-alpha-acetyltransferase 60, NatF catalytic subunit",16p13.3
1980,Bilateral striopallidodentate calcinosis,CMPK2,cytidine/uridine monophosphate kinase 2,2p25.2
1980,Bilateral striopallidodentate calcinosis,JAM2,junctional adhesion molecule 2,21q21.3
1980,Bilateral striopallidodentate calcinosis,MYORG,myogenesis regulating glycosidase,9p13.3
1980,Bilateral striopallidodentate calcinosis,PDGFRB,platelet derived growth factor receptor beta,5q32
1980,Bilateral striopallidodentate calcinosis,PDGFB,platelet derived growth factor subunit B,22q13.1
1980,Bilateral striopallidodentate calcinosis,SLC20A2,solute carrier family 20 member 2,8p11.21
1980,Bilateral striopallidodentate calcinosis,XPR1,xenotropic and polytropic retrovirus receptor 1,1q25.3
1997,Blepharo-cheilo-odontic syndrome,CTNND1,catenin delta 1,11q12.1
1997,Blepharo-cheilo-odontic syndrome,CDH1,cadherin 1,16q22.1
2348,"Familial partial lipodystrophy, Dunnigan type",LMNA,lamin A/C,1q22
247768,Müllerian aplasia and hyperandrogenism,WNT4,Wnt family member 4,1p36.12
2353,Schilbach-Rott syndrome,PTCH1,patched 1,9q22.32
247790,FTH1-related iron overload,FTH1,ferritin heavy chain 1,11q12.3
247798,MUTYH-related polyposis,MUTYH,mutY DNA glycosylase,1p34.1
247794,Juvenile cataract-microcornea-renal glucosuria syndrome,SLC16A12,solute carrier family 16 member 12,10q23.31
247815,Autosomal recessive ataxia due to PEX10 deficiency,PEX10,peroxisomal biogenesis factor 10,1p36.32
2363,Lacrimoauriculodentodigital syndrome,FGF10,fibroblast growth factor 10,5p12
2363,Lacrimoauriculodentodigital syndrome,FGFR3,fibroblast growth factor receptor 3,4p16.3
2363,Lacrimoauriculodentodigital syndrome,FGFR2,fibroblast growth factor receptor 2,10q26.13
247691,Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations,TREX1,three prime repair exonuclease 1,3p21.31
2340,Keratosis follicularis spinulosa decalvans,MBTPS2,"membrane bound transcription factor peptidase, site 2",Xp22.12
2340,Keratosis follicularis spinulosa decalvans,SAT1,spermidine/spermine N1-acetyltransferase 1,Xp22.11
2340,Keratosis follicularis spinulosa decalvans,LRP1,LDL receptor related protein 1,12q13.3
247685,Odontohypophosphatasia,ALPL,"alkaline phosphatase, biomineralization associated",1p36.12
2342,Haim-Munk syndrome,CTSC,cathepsin C,11q14.2
247709,Multiple endocrine neoplasia type 2B,RET,ret proto-oncogene,10q11.21
247698,Multiple endocrine neoplasia type 2A,RET,ret proto-oncogene,10q11.21
485,Kniest dysplasia,COL2A1,collagen type II alpha 1 chain,12q13.11
247585,Citrullinemia type II,SLC25A13,solute carrier family 25 member 13,7q21.3
247598,Neonatal intrahepatic cholestasis due to citrin deficiency,SLC25A13,solute carrier family 25 member 13,7q21.3
2332,KBG syndrome,ANKRD11,ankyrin repeat domain containing 11,16q24.3
247604,Juvenile primary lateral sclerosis,ALS2,alsin Rho guanine nucleotide exchange factor ALS2,2q33.1
247604,Juvenile primary lateral sclerosis,ERLIN2,ER lipid raft associated 2,8p11.23
247623,Perinatal lethal hypophosphatasia,ALPL,"alkaline phosphatase, biomineralization associated",1p36.12
247638,Prenatal benign hypophosphatasia,ALPL,"alkaline phosphatase, biomineralization associated",1p36.12
2337,"Diffuse palmoplantar keratoderma, Bothnian type",AQP5,aquaporin 5,12q13.12
247651,Infantile hypophosphatasia,ALPL,"alkaline phosphatase, biomineralization associated",1p36.12
247667,Childhood-onset hypophosphatasia,ALPL,"alkaline phosphatase, biomineralization associated",1p36.12
247676,Adult hypophosphatasia,ALPL,"alkaline phosphatase, biomineralization associated",1p36.12
494,Keratoderma hereditarium mutilans,GJB2,gap junction protein beta 2,13q12.11
2322,Kabuki syndrome,KMT2D,lysine methyltransferase 2D,12q13.12
2322,Kabuki syndrome,KDM6A,lysine demethylase 6A,Xp11.3
247378,Autosomal recessive secondary polycythemia not associated with VHL gene,BPGM,bisphosphoglycerate mutase,7q33
247511,Autosomal dominant secondary polycythemia,EPO,erythropoietin,7q22.1
247511,Autosomal dominant secondary polycythemia,EGLN1,egl-9 family hypoxia inducible factor 1,1q42.2
247511,Autosomal dominant secondary polycythemia,EPAS1,endothelial PAS domain protein 1,2p21
247511,Autosomal dominant secondary polycythemia,HBA1,hemoglobin subunit alpha 1,16p13.3
247511,Autosomal dominant secondary polycythemia,HBA2,hemoglobin subunit alpha 2,16p13.3
247511,Autosomal dominant secondary polycythemia,HBB,hemoglobin subunit beta,11p15.4
2323,Sanjad-Sakati syndrome,TBCE,tubulin folding cofactor E,1q42.3
247522,Primary ciliary dyskinesia-retinitis pigmentosa syndrome,RPGR,retinitis pigmentosa GTPase regulator,Xp11.4
247546,Acute neonatal citrullinemia type I,ASS1,argininosuccinate synthase 1,9q34.11
247573,Late-onset citrullinemia type I,ASS1,argininosuccinate synthase 1,9q34.11
2407,Laryngo-onycho-cutaneous syndrome,LAMA3,laminin subunit alpha 3,18q11.2
2412,Dislocation of the hip-dysmorphism syndrome,TRIM33,tripartite motif containing 33,1p13.2
248408,Familial hypodysfibrinogenemia,FGA,fibrinogen alpha chain,4q31.3
248408,Familial hypodysfibrinogenemia,FGB,fibrinogen beta chain,4q31.3
248408,Familial hypodysfibrinogenemia,FGG,fibrinogen gamma chain,4q32.1
2396,Encephalocraniocutaneous lipomatosis,FGFR1,fibroblast growth factor receptor 1,8p11.23
2396,Encephalocraniocutaneous lipomatosis,KRAS,"KRAS proto-oncogene, GTPase",12p12.1
248340,Isolated delta-storage pool disease,FLI1,"Fli-1 proto-oncogene, ETS transcription factor",11q24.3
2388,Choreoacanthocytosis,VPS13A,vacuolar protein sorting 13 homolog A,9q21.2
248111,Juvenile Huntington disease,HTT,huntingtin,4p16.3
2387,Leukonychia totalis,PLCD1,phospholipase C delta 1,3p22.2
2379,Early-onset parkinsonism-intellectual disability syndrome,RAB39B,"RAB39B, member RAS oncogene family",Xq28
247834,Occult macular dystrophy,RP1L1,RP1 like 1,8p23.1
247820,Ectodermal dysplasia-pili torti-cutaneous syndactyly syndrome,NECTIN4,nectin cell adhesion molecule 4,1q23.3
2378,Laurin-Sandrow syndrome,LMBR1,limb development membrane protein 1,7q36.3
247868,NLRP12-associated hereditary periodic fever syndrome,NLRP12,NLR family pyrin domain containing 12,19q13.42
2451,Mucocutaneous venous malformations,TEK,TEK receptor tyrosine kinase,9p21.2
244305,Dominant hypophosphatemia with nephrolithiasis or osteoporosis,SLC34A1,solute carrier family 34 member 1,5q35.3
244305,Dominant hypophosphatemia with nephrolithiasis or osteoporosis,NHERF1,NHERF family PDZ scaffold protein 1,17q25.1
244283,Biliary atresia with splenic malformation syndrome,CFC1,"cryptic, EGF-CFC family member 1",2q21.1
2440,Isolated split hand-split foot malformation,DLX6,distal-less homeobox 6,7q21.3
2440,Isolated split hand-split foot malformation,EPS15L1,epidermal growth factor receptor pathway substrate 15 like 1,19p13.11
2440,Isolated split hand-split foot malformation,TP63,tumor protein p63,3q28
2440,Isolated split hand-split foot malformation,SEM1,SEM1 26S proteasome subunit,7q21.3
2440,Isolated split hand-split foot malformation,WNT10B,Wnt family member 10B,12q13.12
2440,Isolated split hand-split foot malformation,DLX5,distal-less homeobox 5,7q21.3
2440,Isolated split hand-split foot malformation,BTRC,beta-transducin repeat containing E3 ubiquitin protein ligase,10q24.32
2440,Isolated split hand-split foot malformation,FBXW4,F-box and WD repeat domain containing 4,10q24.32
244310,RFT1-CDG,RFT1,RFT1 glycolipid translocator homolog,3p21.1
244242,HELLP syndrome,CD46,CD46 molecule,1q32.2
244242,HELLP syndrome,CFH,complement factor H,1q31.3
244242,HELLP syndrome,CFI,complement factor I,4q25
244242,HELLP syndrome,HELLPAR,HELLP associated long non-coding RNA,12q23.2
296,Ollier disease,PTH1R,parathyroid hormone 1 receptor,3p21.31
296,Ollier disease,IDH2,isocitrate dehydrogenase (NADP(+)) 2,15q26.1
296,Ollier disease,IDH1,isocitrate dehydrogenase (NADP(+)) 1,2q34
244275,De novo thrombotic microangiopathy after kidney transplantation,CFI,complement factor I,4q25
244275,De novo thrombotic microangiopathy after kidney transplantation,CFH,complement factor H,1q31.3
2438,Hand-foot-genital syndrome,HOXA13,homeobox A13,7p15.2
243343,Dimethylglycine dehydrogenase deficiency,DMGDH,dimethylglycine dehydrogenase,5q14.1
243367,Acute fatty liver of pregnancy,HADHA,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha,2p23.3
247353,Generalized pustular psoriasis,IL36RN,interleukin 36 receptor antagonist,2q14.1
247353,Generalized pustular psoriasis,AP1S3,adaptor related protein complex 1 subunit sigma 3,2q36.1
247262,Hyperphosphatasia-intellectual disability syndrome,PIGV,phosphatidylinositol glycan anchor biosynthesis class V,1p36.11
247262,Hyperphosphatasia-intellectual disability syndrome,PIGL,phosphatidylinositol glycan anchor biosynthesis class L,17p11.2
247262,Hyperphosphatasia-intellectual disability syndrome,PIGO,phosphatidylinositol glycan anchor biosynthesis class O,9p13.3
247262,Hyperphosphatasia-intellectual disability syndrome,PGAP2,post-GPI attachment to proteins 2,11p15.4
247262,Hyperphosphatasia-intellectual disability syndrome,PGAP3,post-GPI attachment to proteins phospholipase 3,17q12
247262,Hyperphosphatasia-intellectual disability syndrome,PIGW,phosphatidylinositol glycan anchor biosynthesis class W,17q12
247262,Hyperphosphatasia-intellectual disability syndrome,PIGY,phosphatidylinositol glycan anchor biosynthesis class Y,4q22.1
2484,Melnick-Needles syndrome,FLNA,filamin A,Xq28
247198,Progressive cerebello-cerebral atrophy,SEPSECS,Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase,4p15.2
247198,Progressive cerebello-cerebral atrophy,VPS53,VPS53 subunit of GARP complex,17p13.3
2477,Isolated megalencephaly,TBC1D7,TBC1 domain family member 7,6p24.1
2473,McKusick-Kaufman syndrome,MKKS,MKKS centrosomal shuttling protein,20p12.2
2470,Matthew-Wood syndrome,STRA6,signaling receptor and transporter of retinol STRA6,15q24.1
2470,Matthew-Wood syndrome,WNT7B,Wnt family member 7B,22q13.31
561,Marshall-Smith syndrome,NFIX,nuclear factor I X,19p13.13
559,Marinesco-Sjögren syndrome,SIL1,SIL1 nucleotide exchange factor,5q31.2
2462,Shprintzen-Goldberg syndrome,SKI,SKI proto-oncogene,1p36.33-p36.32
2462,Shprintzen-Goldberg syndrome,FBN1,fibrillin 1,15q21.1
2461,Marden-Walker syndrome,PIEZO2,piezo type mechanosensitive ion channel component 2,18p11.22-p11.21
251630,Anaplastic oligodendroglioma,IDH2,isocitrate dehydrogenase (NADP(+)) 2,15q26.1
251630,Anaplastic oligodendroglioma,POT1,protection of telomeres 1,7q31.33
251636,Ependymoma,ZFTA,zinc finger translocation associated,11q13.1
2176,Infantile systemic hyalinosis,ANTXR2,ANTXR cell adhesion molecule 2,4q21.21
251656,Oligoastrocytoma,IDH2,isocitrate dehydrogenase (NADP(+)) 2,15q26.1
251663,Anaplastic oligoastrocytoma,IDH2,isocitrate dehydrogenase (NADP(+)) 2,15q26.1
251671,Angiocentric glioma,MYB,"MYB proto-oncogene, transcription factor",6q23.3
251671,Angiocentric glioma,QKI,"QKI, KH domain containing RNA binding",6q26
2189,Hydrolethalus,HYLS1,HYLS1 centriolar and ciliogenesis associated,11q24.2
2189,Hydrolethalus,KIF7,kinesin family member 7,15q26.1
312,Autosomal dominant epidermolytic ichthyosis,KRT1,keratin 1,12q13.13
312,Autosomal dominant epidermolytic ichthyosis,KRT10,keratin 10,17q21.2
2196,Primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement,CLDN19,claudin 19,1p34.2
251576,Gliosarcoma,NFKBIA,NFKB inhibitor alpha,14q13.2
251576,Gliosarcoma,MGMT,O-6-methylguanine-DNA methyltransferase,10q26.3
251576,Gliosarcoma,EGFR,epidermal growth factor receptor,7p11.2
251576,Gliosarcoma,FGFR1,fibroblast growth factor receptor 1,8p11.23
251576,Gliosarcoma,FGFR3,fibroblast growth factor receptor 3,4p16.3
251576,Gliosarcoma,TP53,tumor protein p53,17p13.1
251576,Gliosarcoma,TACC3,transforming acidic coiled-coil containing protein 3,4p16.3
251576,Gliosarcoma,TACC1,transforming acidic coiled-coil containing protein 1,8p11.22
251576,Gliosarcoma,PPARG,peroxisome proliferator activated receptor gamma,3p25.2
251576,Gliosarcoma,LZTR1,leucine zipper like post translational regulator 1,22q11.21
251576,Gliosarcoma,SEPTIN14,septin 14,7p11.2
251576,Gliosarcoma,IDH1,isocitrate dehydrogenase (NADP(+)) 1,2q34
251579,Giant cell glioblastoma,ROS1,"ROS proto-oncogene 1, receptor tyrosine kinase",6q22.1
251579,Giant cell glioblastoma,PPARG,peroxisome proliferator activated receptor gamma,3p25.2
251579,Giant cell glioblastoma,NFKBIA,NFKB inhibitor alpha,14q13.2
251579,Giant cell glioblastoma,MGMT,O-6-methylguanine-DNA methyltransferase,10q26.3
251579,Giant cell glioblastoma,EGFR,epidermal growth factor receptor,7p11.2
251579,Giant cell glioblastoma,FGFR1,fibroblast growth factor receptor 1,8p11.23
251579,Giant cell glioblastoma,FGFR3,fibroblast growth factor receptor 3,4p16.3
251579,Giant cell glioblastoma,TP53,tumor protein p53,17p13.1
251579,Giant cell glioblastoma,TACC3,transforming acidic coiled-coil containing protein 3,4p16.3
251579,Giant cell glioblastoma,TACC1,transforming acidic coiled-coil containing protein 1,8p11.22
251579,Giant cell glioblastoma,IDH1,isocitrate dehydrogenase (NADP(+)) 1,2q34
251579,Giant cell glioblastoma,LZTR1,leucine zipper like post translational regulator 1,22q11.21
251579,Giant cell glioblastoma,SEPTIN14,septin 14,7p11.2
251589,Anaplastic astrocytoma,IDH2,isocitrate dehydrogenase (NADP(+)) 2,15q26.1
251598,Protoplasmic astrocytoma,IDH2,isocitrate dehydrogenase (NADP(+)) 2,15q26.1
251604,Gemistocytic astrocytoma,IDH2,isocitrate dehydrogenase (NADP(+)) 2,15q26.1
251601,Fibrillary astrocytoma,IDH2,isocitrate dehydrogenase (NADP(+)) 2,15q26.1
251615,Pilomyxoid astrocytoma,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",7q34
251615,Pilomyxoid astrocytoma,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",7q34
251615,Pilomyxoid astrocytoma,RAF1,"Raf-1 proto-oncogene, serine/threonine kinase",3p25.2
251615,Pilomyxoid astrocytoma,FGFR1,fibroblast growth factor receptor 1,8p11.23
251615,Pilomyxoid astrocytoma,SRGAP3,SLIT-ROBO Rho GTPase activating protein 3,3p25.3
251615,Pilomyxoid astrocytoma,NTRK2,neurotrophic receptor tyrosine kinase 2,9q21.33
251615,Pilomyxoid astrocytoma,KIAA1549,KIAA1549,7q34
251615,Pilomyxoid astrocytoma,KRAS,"KRAS proto-oncogene, GTPase",12p12.1
